dbname:muraro	round:1111	alpha:0	beta:1	acc: 0.90952 	ari: 0.88508 	nmi: 0.84885
dbname:muraro	round:1111	alpha:0.001	beta:1	acc: 0.91423 	ari: 0.89381 	nmi: 0.85692
dbname:muraro	round:1111	alpha:0.01	beta:1	acc: 0.72008 	ari: 0.6625 	nmi: 0.78862
dbname:muraro	round:1111	alpha:0.1	beta:1	acc: 0.71254 	ari: 0.65959 	nmi: 0.78735
dbname:muraro	round:1111	alpha:1	beta:1	acc: 0.71206 	ari: 0.65949 	nmi: 0.78734
dbname:muraro	round:1111	alpha:1	beta:0.1	acc: 0.71159 	ari: 0.6594 	nmi: 0.78732
dbname:muraro	round:1111	alpha:1	beta:0.01	acc: 0.71159 	ari: 0.6594 	nmi: 0.78732
dbname:muraro	round:1111	alpha:1	beta:0.001	acc: 0.71159 	ari: 0.6594 	nmi: 0.78732
dbname:muraro	round:1111	alpha:1	beta:0	acc: 0.71159 	ari: 0.6594 	nmi: 0.78732
dbname:muraro	round:1111	alpha:0	beta:1	acc: 0.90952 	ari: 0.88508 	nmi: 0.84885
dbname:muraro	round:1111	alpha:0.001	beta:1	acc: 0.91423 	ari: 0.89381 	nmi: 0.85692
dbname:muraro	round:1111	alpha:0.01	beta:1	acc: 0.72055 	ari: 0.66265 	nmi: 0.78864
dbname:muraro	round:1111	alpha:0.1	beta:1	acc: 0.71301 	ari: 0.65969 	nmi: 0.78737
dbname:muraro	round:1111	alpha:1	beta:1	acc: 0.71206 	ari: 0.65949 	nmi: 0.78734
dbname:muraro	round:1111	alpha:1	beta:0.1	acc: 0.71206 	ari: 0.65949 	nmi: 0.78734
dbname:muraro	round:1111	alpha:1	beta:0.01	acc: 0.71206 	ari: 0.65949 	nmi: 0.78734
dbname:muraro	round:1111	alpha:1	beta:0.001	acc: 0.71206 	ari: 0.65949 	nmi: 0.78734
dbname:muraro	round:1111	alpha:1	beta:0	acc: 0.71206 	ari: 0.65949 	nmi: 0.78734
dbname:muraro	round:1111	alpha:0	beta:1	acc: 0.90952 	ari: 0.88508 	nmi: 0.84885
dbname:muraro	round:1111	alpha:0.001	beta:1	acc: 0.91423 	ari: 0.89381 	nmi: 0.85692
dbname:muraro	round:1111	alpha:0.01	beta:1	acc: 0.72055 	ari: 0.66265 	nmi: 0.78864
dbname:muraro	round:1111	alpha:0.1	beta:1	acc: 0.71254 	ari: 0.65959 	nmi: 0.78735
dbname:muraro	round:1111	alpha:1	beta:1	acc: 0.71159 	ari: 0.6594 	nmi: 0.78732
dbname:muraro	round:1111	alpha:1	beta:0.1	acc: 0.71159 	ari: 0.6594 	nmi: 0.78732
dbname:muraro	round:1111	alpha:1	beta:0.01	acc: 0.71159 	ari: 0.6594 	nmi: 0.78732
dbname:muraro	round:1111	alpha:1	beta:0.001	acc: 0.71159 	ari: 0.6594 	nmi: 0.78732
dbname:muraro	round:1111	alpha:1	beta:0	acc: 0.71159 	ari: 0.6594 	nmi: 0.78732
dbname:muraro	round:2222	alpha:0	beta:1	acc: 0.68709 	ari: 0.51052 	nmi: 0.62967
dbname:muraro	round:2222	alpha:0.001	beta:1	acc: 0.705 	ari: 0.52565 	nmi: 0.64444
dbname:muraro	round:2222	alpha:0.01	beta:1	acc: 0.94439 	ari: 0.90649 	nmi: 0.85827
dbname:muraro	round:2222	alpha:0.1	beta:1	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:1	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:0.1	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:0.01	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:0.001	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:0	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:0	beta:1	acc: 0.6885 	ari: 0.51155 	nmi: 0.63075
dbname:muraro	round:2222	alpha:0.001	beta:1	acc: 0.70311 	ari: 0.52469 	nmi: 0.64417
dbname:muraro	round:2222	alpha:0.01	beta:1	acc: 0.94439 	ari: 0.90649 	nmi: 0.85827
dbname:muraro	round:2222	alpha:0.1	beta:1	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:1	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:0.1	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:0.01	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:0.001	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:0	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:0	beta:1	acc: 0.68756 	ari: 0.50983 	nmi: 0.62883
dbname:muraro	round:2222	alpha:0.001	beta:1	acc: 0.705 	ari: 0.52565 	nmi: 0.64444
dbname:muraro	round:2222	alpha:0.01	beta:1	acc: 0.94439 	ari: 0.90649 	nmi: 0.85827
dbname:muraro	round:2222	alpha:0.1	beta:1	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:1	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:0.1	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:0.01	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:0.001	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:2222	alpha:1	beta:0	acc: 0.91942 	ari: 0.91084 	nmi: 0.87312
dbname:muraro	round:3333	alpha:0	beta:1	acc: 0.90952 	ari: 0.88823 	nmi: 0.84721
dbname:muraro	round:3333	alpha:0.001	beta:1	acc: 0.91235 	ari: 0.89619 	nmi: 0.85648
dbname:muraro	round:3333	alpha:0.01	beta:1	acc: 0.90434 	ari: 0.87894 	nmi: 0.84511
dbname:muraro	round:3333	alpha:0.1	beta:1	acc: 0.86051 	ari: 0.76274 	nmi: 0.78723
dbname:muraro	round:3333	alpha:1	beta:1	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:1	beta:0.1	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:1	beta:0.01	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:1	beta:0.001	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:1	beta:0	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:0	beta:1	acc: 0.90952 	ari: 0.88823 	nmi: 0.84721
dbname:muraro	round:3333	alpha:0.001	beta:1	acc: 0.91235 	ari: 0.89619 	nmi: 0.85648
dbname:muraro	round:3333	alpha:0.01	beta:1	acc: 0.90434 	ari: 0.87894 	nmi: 0.84511
dbname:muraro	round:3333	alpha:0.1	beta:1	acc: 0.86051 	ari: 0.76274 	nmi: 0.78723
dbname:muraro	round:3333	alpha:1	beta:1	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:1	beta:0.1	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:1	beta:0.01	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:1	beta:0.001	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:1	beta:0	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:0	beta:1	acc: 0.90952 	ari: 0.88823 	nmi: 0.84721
dbname:muraro	round:3333	alpha:0.001	beta:1	acc: 0.91235 	ari: 0.89619 	nmi: 0.85648
dbname:muraro	round:3333	alpha:0.01	beta:1	acc: 0.90434 	ari: 0.87894 	nmi: 0.84511
dbname:muraro	round:3333	alpha:0.1	beta:1	acc: 0.86051 	ari: 0.76274 	nmi: 0.78723
dbname:muraro	round:3333	alpha:1	beta:1	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:1	beta:0.1	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:1	beta:0.01	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:1	beta:0.001	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:3333	alpha:1	beta:0	acc: 0.8591 	ari: 0.75892 	nmi: 0.78581
dbname:muraro	round:4444	alpha:0	beta:1	acc: 0.9147 	ari: 0.90076 	nmi: 0.85688
dbname:muraro	round:4444	alpha:0.001	beta:1	acc: 0.91329 	ari: 0.88866 	nmi: 0.84804
dbname:muraro	round:4444	alpha:0.01	beta:1	acc: 0.92224 	ari: 0.9011 	nmi: 0.86559
dbname:muraro	round:4444	alpha:0.1	beta:1	acc: 0.89114 	ari: 0.85746 	nmi: 0.83346
dbname:muraro	round:4444	alpha:1	beta:1	acc: 0.8902 	ari: 0.85631 	nmi: 0.83277
dbname:muraro	round:4444	alpha:1	beta:0.1	acc: 0.8902 	ari: 0.85631 	nmi: 0.83277
dbname:muraro	round:4444	alpha:1	beta:0.01	acc: 0.8902 	ari: 0.85631 	nmi: 0.83277
dbname:muraro	round:4444	alpha:1	beta:0.001	acc: 0.8902 	ari: 0.85631 	nmi: 0.83277
dbname:muraro	round:4444	alpha:1	beta:0	acc: 0.8902 	ari: 0.85631 	nmi: 0.83277
dbname:muraro	round:4444	alpha:0	beta:1	acc: 0.9147 	ari: 0.90076 	nmi: 0.85688
dbname:muraro	round:4444	alpha:0.001	beta:1	acc: 0.91329 	ari: 0.88866 	nmi: 0.84804
dbname:muraro	round:4444	alpha:0.01	beta:1	acc: 0.92224 	ari: 0.9011 	nmi: 0.86559
dbname:muraro	round:4444	alpha:0.1	beta:1	acc: 0.89114 	ari: 0.85746 	nmi: 0.83346
dbname:muraro	round:4444	alpha:1	beta:1	acc: 0.8902 	ari: 0.85631 	nmi: 0.83277
dbname:muraro	round:4444	alpha:1	beta:0.1	acc: 0.8902 	ari: 0.85631 	nmi: 0.83277
dbname:muraro	round:4444	alpha:1	beta:0.01	acc: 0.8902 	ari: 0.85631 	nmi: 0.83277
dbname:muraro	round:4444	alpha:1	beta:0.001	acc: 0.8902 	ari: 0.85631 	nmi: 0.83277
dbname:muraro	round:4444	alpha:1	beta:0	acc: 0.8902 	ari: 0.85631 	nmi: 0.83277
dbname:muraro	round:4444	alpha:0	beta:1	acc: 0.9147 	ari: 0.90076 	nmi: 0.85688
dbname:muraro	round:4444	alpha:0.001	beta:1	acc: 0.91376 	ari: 0.89037 	nmi: 0.85007
dbname:muraro	round:4444	alpha:0.01	beta:1	acc: 0.92413 	ari: 0.90407 	nmi: 0.86851
dbname:muraro	round:4444	alpha:0.1	beta:1	acc: 0.89303 	ari: 0.85978 	nmi: 0.83486
dbname:muraro	round:4444	alpha:1	beta:1	acc: 0.89114 	ari: 0.85746 	nmi: 0.83346
dbname:muraro	round:4444	alpha:1	beta:0.1	acc: 0.89114 	ari: 0.85746 	nmi: 0.83346
dbname:muraro	round:4444	alpha:1	beta:0.01	acc: 0.89114 	ari: 0.85746 	nmi: 0.83346
dbname:muraro	round:4444	alpha:1	beta:0.001	acc: 0.89114 	ari: 0.85746 	nmi: 0.83346
dbname:muraro	round:4444	alpha:1	beta:0	acc: 0.89114 	ari: 0.85746 	nmi: 0.83346
dbname:muraro	round:5555	alpha:0	beta:1	acc: 0.91376 	ari: 0.90277 	nmi: 0.8618
dbname:muraro	round:5555	alpha:0.001	beta:1	acc: 0.91894 	ari: 0.91058 	nmi: 0.86996
dbname:muraro	round:5555	alpha:0.01	beta:1	acc: 0.79312 	ari: 0.66173 	nmi: 0.77551
dbname:muraro	round:5555	alpha:0.1	beta:1	acc: 0.7705 	ari: 0.63132 	nmi: 0.75832
dbname:muraro	round:5555	alpha:1	beta:1	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:5555	alpha:1	beta:0.1	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:5555	alpha:1	beta:0.01	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:5555	alpha:1	beta:0.001	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:5555	alpha:1	beta:0	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:5555	alpha:0	beta:1	acc: 0.91376 	ari: 0.90277 	nmi: 0.8618
dbname:muraro	round:5555	alpha:0.001	beta:1	acc: 0.91894 	ari: 0.91058 	nmi: 0.86996
dbname:muraro	round:5555	alpha:0.01	beta:1	acc: 0.79312 	ari: 0.66173 	nmi: 0.77551
dbname:muraro	round:5555	alpha:0.1	beta:1	acc: 0.7705 	ari: 0.63132 	nmi: 0.75832
dbname:muraro	round:5555	alpha:1	beta:1	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:5555	alpha:1	beta:0.1	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:5555	alpha:1	beta:0.01	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:5555	alpha:1	beta:0.001	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:5555	alpha:1	beta:0	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:5555	alpha:0	beta:1	acc: 0.91376 	ari: 0.90277 	nmi: 0.8618
dbname:muraro	round:5555	alpha:0.001	beta:1	acc: 0.91894 	ari: 0.91058 	nmi: 0.86996
dbname:muraro	round:5555	alpha:0.01	beta:1	acc: 0.79312 	ari: 0.66173 	nmi: 0.77551
dbname:muraro	round:5555	alpha:0.1	beta:1	acc: 0.77191 	ari: 0.63381 	nmi: 0.76014
dbname:muraro	round:5555	alpha:1	beta:1	acc: 0.77003 	ari: 0.6305 	nmi: 0.75773
dbname:muraro	round:5555	alpha:1	beta:0.1	acc: 0.77003 	ari: 0.6305 	nmi: 0.75773
dbname:muraro	round:5555	alpha:1	beta:0.01	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:5555	alpha:1	beta:0.001	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:5555	alpha:1	beta:0	acc: 0.76956 	ari: 0.62968 	nmi: 0.75715
dbname:muraro	round:6666	alpha:0	beta:1	acc: 0.6131 	ari: 0.49515 	nmi: 0.62626
dbname:muraro	round:6666	alpha:0.001	beta:1	acc: 0.63761 	ari: 0.53213 	nmi: 0.6511
dbname:muraro	round:6666	alpha:0.01	beta:1	acc: 0.79406 	ari: 0.6994 	nmi: 0.77831
dbname:muraro	round:6666	alpha:0.1	beta:1	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:1	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:0.1	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:0.01	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:0.001	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:0	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:0	beta:1	acc: 0.61404 	ari: 0.49488 	nmi: 0.62711
dbname:muraro	round:6666	alpha:0.001	beta:1	acc: 0.63761 	ari: 0.53213 	nmi: 0.6511
dbname:muraro	round:6666	alpha:0.01	beta:1	acc: 0.79359 	ari: 0.6989 	nmi: 0.77822
dbname:muraro	round:6666	alpha:0.1	beta:1	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:1	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:0.1	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:0.01	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:0.001	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:0	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:0	beta:1	acc: 0.6131 	ari: 0.49655 	nmi: 0.62811
dbname:muraro	round:6666	alpha:0.001	beta:1	acc: 0.63761 	ari: 0.53213 	nmi: 0.6511
dbname:muraro	round:6666	alpha:0.01	beta:1	acc: 0.79406 	ari: 0.6994 	nmi: 0.77831
dbname:muraro	round:6666	alpha:0.1	beta:1	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:1	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:0.1	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:0.01	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:0.001	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:6666	alpha:1	beta:0	acc: 0.91423 	ari: 0.90543 	nmi: 0.86066
dbname:muraro	round:7777	alpha:0	beta:1	acc: 0.82752 	ari: 0.76874 	nmi: 0.79962
dbname:muraro	round:7777	alpha:0.001	beta:1	acc: 0.9213 	ari: 0.91415 	nmi: 0.87167
dbname:muraro	round:7777	alpha:0.01	beta:1	acc: 0.91517 	ari: 0.90384 	nmi: 0.86574
dbname:muraro	round:7777	alpha:0.1	beta:1	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:1	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:0.1	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:0.01	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:0.001	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:0	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:0	beta:1	acc: 0.82752 	ari: 0.76874 	nmi: 0.79962
dbname:muraro	round:7777	alpha:0.001	beta:1	acc: 0.9213 	ari: 0.91415 	nmi: 0.87167
dbname:muraro	round:7777	alpha:0.01	beta:1	acc: 0.91517 	ari: 0.90384 	nmi: 0.86574
dbname:muraro	round:7777	alpha:0.1	beta:1	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:1	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:0.1	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:0.01	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:0.001	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:0	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:0	beta:1	acc: 0.82752 	ari: 0.76874 	nmi: 0.79962
dbname:muraro	round:7777	alpha:0.001	beta:1	acc: 0.9213 	ari: 0.91455 	nmi: 0.87266
dbname:muraro	round:7777	alpha:0.01	beta:1	acc: 0.91517 	ari: 0.90384 	nmi: 0.86574
dbname:muraro	round:7777	alpha:0.1	beta:1	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:1	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:0.1	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:0.01	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:0.001	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
dbname:muraro	round:7777	alpha:1	beta:0	acc: 0.90999 	ari: 0.89156 	nmi: 0.85614
